"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm34389",59.1529261071299,-7.22209000804668,1.8035946785314,-4.00427551379081,6.22078312850886e-05,0.0136934988616301
"H1f4",1067.69493777719,-6.09644203169953,1.52755577294263,-3.99097835881668,6.58012851944181e-05,0.0142860899869361
"Gm25360",1392.23549509818,-6.34089545426876,1.59975717632867,-3.96366120314625,7.38089824016791e-05,0.0158080886768137
"mt-Rnr1",107329.605116892,-5.50631760991788,1.41690748395023,-3.88615182874656,0.000101845822610013,0.0213540252111046
"H2ac6",2085.89991564265,-5.13764393279113,1.32248590112371,-3.88483833999719,0.00010239800088611,0.0213540252111046
"Gm24339",128.1195529689,-6.76494983424983,1.77078906113266,-3.82030247573515,0.000133288112848623,0.0274348480589328
"Ecm2",93.3807940016345,-7.45926056741655,1.95792286441796,-3.80978265435089,0.000139089011054568,0.0282618171308186
"H2ac4",2656.35520408586,-5.11351689313209,1.35949614707557,-3.76133239077716,0.000169010657272281,0.0339069608494732
"Gm24119",192.655962891171,-5.57763765635633,1.49796269169989,-3.72348235858053,0.000196493597033289,0.0389278377422575
"Gm41607",188.323685198686,-5.85354948646866,1.58795544479897,-3.68621771198984,0.000227611654175247,0.0445360136669568
"2310067E19Rik",62.7950156186252,-7.73022794186278,2.10623570596765,-3.67016280274831,0.000242396036468994,0.0463726245862048
"Gm35566",35.0783999231177,-7.76799557452025,2.1168019481286,-3.6696846303395,0.000242849885838539,0.0463726245862048
"Lrrtm2",108.799670188408,-6.43342058118446,1.75877302704852,-3.65790268684112,0.000254287551812032,0.0479786120079629
